,2330.TW,700.HK,9988.HK,NESN.SW,005930.KS,ASML.AS,ROG.SW,MC.PA,NOVN.SW,7203.T,SHOP,AZN.L,ULVR.L,1299.HK,SAP.DE,NOVO B.CO,RY.TO,3690.HK,CBA.AX,6758.T,TD.TO,SIE.DE,SAN.PA,HSBA.L,DGE.L,TTE.PA,OR.PA,BHP.AX,ALV.DE,GSK.L,6861.T,CSL.AX,RIO.L,BP.L,SU.PA,BATS.L,NPN.JO,9984.T,VALE3.SA,RDSA.AS,AI.PA,RELIANCE.NS,ENB.TO,AIR.PA,939.HK,ENEL.MI,BNS.TO,IBE.MC,DAI.DE,INFY.NS,BAS.DE,RYDBF,CNR.TO,ADS.DE,DTE.DE,6098.T,BNP.PA,388.HK,WBC.AX,8306.T,7974.T,DPW.DE,BAM.A.TO,NIO,BMO.TO,KER.PA,JD,RITN.,BHP.L,8035.T,SAN.MC,NAB.AX,RKT.L,4063.T,000660.KS,ANZ.AX,BAYN.DE,XTSLA,HDFC.NS,ZURN.SW,6501.T,2318.HK,ABBN.SW,LONN.SW,ABI.BR,2269.HK,DG.PA,UBSG.SW,005935.KQ,REL.L,4502.T,7267.T,6594.T,2317.TW,IFX.DE,EL.PA,2454.TW,1810.HK,WES.AX,AAL.L,PDD,9433.T,CM.TO,DSV.CO,INGA.AS,CP.TO,BIDU,7741.T,PRU.L,SAF.PA,PRX.AS,RMS.PA,NTES,TRP.TO,RI.PA,6981.T,8316.T,ADYEN.AS,GAZP.ME,SIKA.SW,6954.T,6367.T,CS.PA,9983.T,INVE B.ST,PHIA.AS,SBER.ME,CNQ.TO,GIVN.SW,GLEN.L,VOD.L,BN.PA,ICICIBANK.NS,ISP.MI,035420.KS,NG.L,LLOY.L,VOW3.DE,VWS.CO,CRH.L,TCS.NS,D05.SI,MQG.AX,BBVA.MC,BARC.L,035720.KS,STLA.MI,6702.T,ABX.TO,LKOH.ME,1120.SR,9434.T,8031.T,CPG.L,MUV2.DE,ITX.MC,ERIC B.ST,ATCO A.ST,WOW.AX,3382.T,LSEG.L,NDA SE.ST,AHT.L,NTR.TO,8411.T,ALC.SW,VOLV B.ST,8058.T,006400.KS,4568.T,8001.T,EXPN.L,SU.TO,051910.KS,MFC.TO,VNA.DE,PGHN.SW,CAP.PA,4503.T,1180.SR,M4B.,AMS.MC,FERG.L,2413.T,1398.HK,DSM.AS,BMW.DE,RIO.AX,9432.T,DSY.PA,SGO.PA,DB1.DE,6273.T,O39.SI,LR.PA,FMG.AX,TCL.AX,SAND.ST,6902.T,HOLN.SW,DSYA.,CLNX.MC,ATD.B.TO,CSU.TO,HEXA B.ST,ORSTED.CO,SLF.TO,4661.T,FLTR.L,4452.T,4911.T,GEBN.SW,HEIA.AS,NOKIA.HE,8766.T,WKL.AS,ENI.MI,FNV.TO,9930.TW,AD.AS,ASSA B.ST,USD,GMAB.CO,AMXL.MX,EVO.ST,MRK.DE,ML.PA,669.HK,RACE.MI,BAM,CFR.SW,HINDUNILVR.NS,4901.T,2331.HK,ITUB4.SA,EOAN.DE,STM.PA,2303.TW,EUR,AUD,4543.T,2010.SR,n/a,SUM
10/01/2021,1.96,1.29,1.1,1.27,1.15,1.22,0.94,0.75,0.68,0.74,0.57,0.66,0.54,0.51,0.54,0.6,0.53,0.49,0.5,0.55,0.46,0.48,0.41,0.39,0.42,0.45,0.4,0.29,0.35,0.35,0.44,0.36,0.28,0.34,0.34,0.3,0.14,0.29,0.2,0.34,0.29,0.37,0.3,0.29,0.26,0.25,0.28,0.23,0.29,0.29,0.26,0.3,0.31,0.22,0.25,0.32,0.27,0.24,0.25,0.29,0.2,0.24,0.0,0.17,0.25,0.2,0.25,0.0,0.2,0.27,0.23,0.25,0.21,0.24,0.18,0.21,0.2,0.0,0.25,0.23,0.23,0.17,0.22,0.22,0.17,0.21,0.2,0.22,0.19,0.21,0.2,0.19,0.19,0.18,0.21,0.21,0.19,0.15,0.17,0.16,0.15,0.2,0.19,0.19,0.21,0.17,0.16,0.22,0.19,0.16,0.28,0.17,0.13,0.17,0.17,0.19,0.19,0.21,0.22,0.18,0.16,0.21,0.19,0.15,0.15,0.16,0.17,0.16,0.16,0.18,0.15,0.16,0.19,0.18,0.16,0.16,0.16,0.15,0.16,0.15,0.18,0.15,0.17,0.17,0.16,0.12,0.15,0.13,0.12,0.13,0.15,0.15,0.13,0.13,0.15,0.15,0.13,0.15,0.13,0.13,0.12,0.16,0.13,0.14,0.14,0.16,0.12,0.15,0.13,0.17,0.14,0.14,0.12,0.12,0.14,0.13,0.13,0.13,0.12,0.13,0.0,0.12,0.12,0.12,0.0,0.13,0.12,0.0,0.14,0.13,0.13,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.12,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.26,0.21,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6
10/04/2021,1.96,1.29,1.1,1.27,1.15,1.22,0.94,0.75,0.68,0.74,0.57,0.66,0.54,0.51,0.54,0.6,0.53,0.49,0.5,0.55,0.46,0.48,0.41,0.39,0.42,0.45,0.4,0.29,0.35,0.35,0.44,0.36,0.28,0.34,0.34,0.3,0.14,0.29,0.2,0.34,0.29,0.37,0.3,0.29,0.26,0.25,0.28,0.23,0.29,0.29,0.26,0.3,0.31,0.22,0.25,0.32,0.27,0.24,0.25,0.29,0.2,0.24,0.0,0.17,0.25,0.2,0.25,0.0,0.2,0.27,0.23,0.25,0.21,0.24,0.18,0.21,0.2,0.0,0.25,0.23,0.23,0.17,0.22,0.22,0.17,0.21,0.2,0.22,0.19,0.21,0.2,0.19,0.19,0.18,0.21,0.21,0.19,0.15,0.17,0.16,0.15,0.2,0.19,0.19,0.21,0.17,0.16,0.22,0.19,0.16,0.28,0.17,0.13,0.17,0.17,0.19,0.19,0.21,0.22,0.18,0.16,0.21,0.19,0.15,0.15,0.16,0.17,0.16,0.16,0.18,0.15,0.16,0.19,0.18,0.16,0.16,0.16,0.15,0.16,0.15,0.18,0.15,0.17,0.17,0.16,0.12,0.15,0.13,0.12,0.13,0.15,0.15,0.13,0.13,0.15,0.15,0.13,0.15,0.13,0.13,0.12,0.16,0.13,0.14,0.14,0.16,0.12,0.15,0.13,0.17,0.14,0.14,0.12,0.12,0.14,0.13,0.13,0.13,0.12,0.13,0.0,0.12,0.12,0.12,0.0,0.13,0.12,0.0,0.14,0.13,0.13,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.12,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.26,0.21,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6
10/05/2021,1.92,1.29,1.09,1.3,1.13,1.19,0.96,0.76,0.69,0.74,0.57,0.69,0.54,0.53,0.54,0.61,0.53,0.49,0.49,0.53,0.46,0.48,0.42,0.4,0.42,0.45,0.4,0.29,0.35,0.36,0.42,0.35,0.28,0.34,0.34,0.3,0.14,0.28,0.2,0.34,0.29,0.37,0.3,0.3,0.26,0.25,0.28,0.23,0.29,0.3,0.27,0.3,0.31,0.23,0.26,0.31,0.27,0.25,0.25,0.28,0.2,0.24,0.0,0.17,0.25,0.21,0.24,0.0,0.2,0.25,0.24,0.24,0.21,0.23,0.18,0.21,0.21,0.0,0.25,0.23,0.22,0.17,0.22,0.22,0.17,0.22,0.21,0.23,0.19,0.21,0.19,0.19,0.19,0.18,0.2,0.21,0.18,0.16,0.17,0.16,0.15,0.2,0.19,0.19,0.22,0.17,0.16,0.22,0.19,0.17,0.28,0.17,0.13,0.17,0.17,0.18,0.18,0.21,0.22,0.18,0.16,0.2,0.2,0.15,0.15,0.16,0.17,0.17,0.17,0.18,0.15,0.16,0.19,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.18,0.15,0.16,0.17,0.17,0.12,0.15,0.13,0.12,0.13,0.15,0.15,0.13,0.14,0.15,0.16,0.13,0.15,0.13,0.13,0.12,0.16,0.13,0.14,0.13,0.16,0.12,0.15,0.13,0.17,0.14,0.14,0.12,0.12,0.14,0.13,0.13,0.13,0.0,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.0,0.14,0.13,0.13,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.26,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,52.64
10/06/2021,1.92,1.29,1.09,1.3,1.13,1.19,0.96,0.76,0.69,0.74,0.57,0.69,0.54,0.53,0.54,0.61,0.53,0.49,0.49,0.53,0.46,0.48,0.42,0.4,0.42,0.45,0.4,0.29,0.35,0.36,0.42,0.35,0.28,0.34,0.34,0.3,0.14,0.28,0.2,0.34,0.29,0.37,0.3,0.3,0.26,0.25,0.28,0.23,0.29,0.3,0.27,0.3,0.31,0.23,0.26,0.31,0.27,0.25,0.25,0.28,0.2,0.24,0.0,0.17,0.25,0.21,0.24,0.0,0.2,0.25,0.24,0.24,0.21,0.23,0.18,0.21,0.21,0.0,0.25,0.23,0.22,0.17,0.22,0.22,0.17,0.22,0.21,0.23,0.19,0.21,0.19,0.19,0.19,0.18,0.2,0.21,0.18,0.16,0.17,0.16,0.15,0.2,0.19,0.19,0.22,0.17,0.16,0.22,0.19,0.17,0.28,0.17,0.13,0.17,0.17,0.18,0.18,0.21,0.22,0.18,0.16,0.2,0.2,0.15,0.15,0.16,0.17,0.17,0.17,0.18,0.15,0.16,0.19,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.18,0.15,0.16,0.17,0.17,0.12,0.15,0.13,0.12,0.13,0.15,0.15,0.13,0.14,0.15,0.16,0.13,0.15,0.13,0.13,0.12,0.16,0.13,0.14,0.13,0.16,0.12,0.15,0.13,0.17,0.14,0.14,0.12,0.12,0.14,0.13,0.13,0.13,0.0,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.0,0.14,0.13,0.13,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.26,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,52.64
10/07/2021,1.91,1.28,1.05,1.31,1.11,1.16,0.98,0.77,0.69,0.71,0.57,0.69,0.54,0.54,0.53,0.61,0.53,0.48,0.49,0.52,0.46,0.46,0.41,0.4,0.42,0.45,0.4,0.3,0.35,0.36,0.43,0.36,0.28,0.35,0.34,0.28,0.14,0.28,0.21,0.35,0.29,0.37,0.31,0.3,0.27,0.24,0.28,0.23,0.29,0.29,0.26,0.31,0.32,0.23,0.25,0.32,0.27,0.25,0.25,0.27,0.19,0.23,0.0,0.18,0.25,0.21,0.23,0.0,0.2,0.25,0.24,0.25,0.21,0.22,0.18,0.21,0.2,0.0,0.24,0.23,0.22,0.16,0.21,0.22,0.17,0.22,0.21,0.22,0.18,0.21,0.2,0.19,0.18,0.17,0.2,0.21,0.18,0.15,0.17,0.16,0.15,0.2,0.19,0.19,0.22,0.17,0.16,0.21,0.19,0.16,0.28,0.17,0.13,0.17,0.17,0.18,0.17,0.21,0.22,0.18,0.15,0.2,0.2,0.15,0.15,0.15,0.17,0.17,0.17,0.18,0.15,0.16,0.18,0.18,0.15,0.16,0.16,0.16,0.15,0.14,0.18,0.15,0.17,0.17,0.17,0.12,0.15,0.13,0.12,0.13,0.16,0.15,0.13,0.14,0.15,0.16,0.13,0.15,0.14,0.13,0.12,0.16,0.13,0.14,0.13,0.15,0.12,0.15,0.13,0.17,0.14,0.15,0.12,0.0,0.14,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.12,0.12,0.12,0.13,0.12,0.0,0.14,0.13,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.27,0.21,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,52.400000000000006
10/08/2021,1.91,1.28,1.05,1.31,1.11,1.16,0.98,0.77,0.69,0.71,0.57,0.69,0.54,0.54,0.53,0.61,0.53,0.48,0.49,0.52,0.46,0.46,0.41,0.4,0.42,0.45,0.4,0.3,0.35,0.36,0.43,0.36,0.28,0.35,0.34,0.28,0.14,0.28,0.21,0.35,0.29,0.37,0.31,0.3,0.27,0.24,0.28,0.23,0.29,0.29,0.26,0.31,0.32,0.23,0.25,0.32,0.27,0.25,0.25,0.27,0.19,0.23,0.0,0.18,0.25,0.21,0.23,0.0,0.2,0.25,0.24,0.25,0.21,0.22,0.18,0.21,0.2,0.0,0.24,0.23,0.22,0.16,0.21,0.22,0.17,0.22,0.21,0.22,0.18,0.21,0.2,0.19,0.18,0.17,0.2,0.21,0.18,0.15,0.17,0.16,0.15,0.2,0.19,0.19,0.22,0.17,0.16,0.21,0.19,0.16,0.28,0.17,0.13,0.17,0.17,0.18,0.17,0.21,0.22,0.18,0.15,0.2,0.2,0.15,0.15,0.15,0.17,0.17,0.17,0.18,0.15,0.16,0.18,0.18,0.15,0.16,0.16,0.16,0.15,0.14,0.18,0.15,0.17,0.17,0.17,0.12,0.15,0.13,0.12,0.13,0.16,0.15,0.13,0.14,0.15,0.16,0.13,0.15,0.14,0.13,0.12,0.16,0.13,0.14,0.13,0.15,0.12,0.15,0.13,0.17,0.14,0.15,0.12,0.0,0.14,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.12,0.12,0.12,0.13,0.12,0.0,0.14,0.13,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.27,0.21,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,52.400000000000006
10/11/2021,1.91,1.26,1.03,1.33,1.09,1.16,1.01,0.76,0.69,0.67,0.58,0.7,0.53,0.54,0.53,0.62,0.54,0.45,0.51,0.51,0.47,0.46,0.42,0.43,0.43,0.47,0.4,0.3,0.35,0.36,0.42,0.36,0.28,0.36,0.34,0.29,0.14,0.26,0.21,0.35,0.29,0.38,0.31,0.29,0.27,0.25,0.28,0.23,0.29,0.3,0.25,0.32,0.32,0.22,0.25,0.31,0.28,0.25,0.26,0.28,0.19,0.23,0.0,0.17,0.25,0.21,0.24,0.0,0.2,0.23,0.25,0.25,0.2,0.22,0.17,0.22,0.2,0.0,0.25,0.23,0.21,0.16,0.21,0.22,0.16,0.2,0.2,0.23,0.17,0.21,0.18,0.18,0.17,0.18,0.21,0.21,0.18,0.15,0.17,0.16,0.15,0.2,0.2,0.19,0.22,0.18,0.16,0.21,0.2,0.16,0.28,0.17,0.14,0.17,0.18,0.17,0.18,0.21,0.24,0.18,0.14,0.2,0.2,0.14,0.15,0.15,0.19,0.18,0.17,0.19,0.15,0.16,0.18,0.18,0.15,0.16,0.17,0.15,0.14,0.14,0.18,0.15,0.17,0.18,0.17,0.0,0.15,0.13,0.13,0.14,0.17,0.15,0.14,0.14,0.15,0.15,0.13,0.15,0.14,0.13,0.12,0.15,0.13,0.15,0.14,0.15,0.12,0.16,0.12,0.17,0.14,0.15,0.13,0.0,0.14,0.12,0.13,0.12,0.12,0.14,0.0,0.12,0.12,0.0,0.12,0.13,0.12,0.0,0.14,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.27,0.21,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,52.48
10/12/2021,1.91,1.26,1.03,1.33,1.09,1.16,1.01,0.76,0.69,0.67,0.58,0.7,0.53,0.54,0.53,0.62,0.54,0.45,0.51,0.51,0.47,0.46,0.42,0.43,0.43,0.47,0.4,0.3,0.35,0.36,0.42,0.36,0.28,0.36,0.34,0.29,0.14,0.26,0.21,0.35,0.29,0.38,0.31,0.29,0.27,0.25,0.28,0.23,0.29,0.3,0.25,0.32,0.32,0.22,0.25,0.31,0.28,0.25,0.26,0.28,0.19,0.23,0.0,0.17,0.25,0.21,0.24,0.0,0.2,0.23,0.25,0.25,0.2,0.22,0.17,0.22,0.2,0.0,0.25,0.23,0.21,0.16,0.21,0.22,0.16,0.2,0.2,0.23,0.17,0.21,0.18,0.18,0.17,0.18,0.21,0.21,0.18,0.15,0.17,0.16,0.15,0.2,0.2,0.19,0.22,0.18,0.16,0.21,0.2,0.16,0.28,0.17,0.14,0.17,0.18,0.17,0.18,0.21,0.24,0.18,0.14,0.2,0.2,0.14,0.15,0.15,0.19,0.18,0.17,0.19,0.15,0.16,0.18,0.18,0.15,0.16,0.17,0.15,0.14,0.14,0.18,0.15,0.17,0.18,0.17,0.0,0.15,0.13,0.13,0.14,0.17,0.15,0.14,0.14,0.15,0.15,0.13,0.15,0.14,0.13,0.12,0.15,0.13,0.15,0.14,0.15,0.12,0.16,0.12,0.17,0.14,0.15,0.13,0.0,0.14,0.12,0.13,0.12,0.12,0.14,0.0,0.12,0.12,0.0,0.12,0.13,0.12,0.0,0.14,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.27,0.21,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,52.48
10/13/2021,1.91,1.26,1.03,1.33,1.09,1.16,1.01,0.76,0.69,0.67,0.58,0.7,0.53,0.54,0.53,0.62,0.54,0.45,0.51,0.51,0.47,0.46,0.42,0.43,0.43,0.47,0.4,0.3,0.35,0.36,0.42,0.36,0.28,0.36,0.34,0.29,0.14,0.26,0.21,0.35,0.29,0.38,0.31,0.29,0.27,0.25,0.28,0.23,0.29,0.3,0.25,0.32,0.32,0.22,0.25,0.31,0.28,0.25,0.26,0.28,0.19,0.23,0.0,0.17,0.25,0.21,0.24,0.0,0.2,0.23,0.25,0.25,0.2,0.22,0.17,0.22,0.2,0.0,0.25,0.23,0.21,0.16,0.21,0.22,0.16,0.2,0.2,0.23,0.17,0.21,0.18,0.18,0.17,0.18,0.21,0.21,0.18,0.15,0.17,0.16,0.15,0.2,0.2,0.19,0.22,0.18,0.16,0.21,0.2,0.16,0.28,0.17,0.14,0.17,0.18,0.17,0.18,0.21,0.24,0.18,0.14,0.2,0.2,0.14,0.15,0.15,0.19,0.18,0.17,0.19,0.15,0.16,0.18,0.18,0.15,0.16,0.17,0.15,0.14,0.14,0.18,0.15,0.17,0.18,0.17,0.0,0.15,0.13,0.13,0.14,0.17,0.15,0.14,0.14,0.15,0.15,0.13,0.15,0.14,0.13,0.12,0.15,0.13,0.15,0.14,0.15,0.12,0.16,0.12,0.17,0.14,0.15,0.13,0.0,0.14,0.12,0.13,0.12,0.12,0.14,0.0,0.12,0.12,0.0,0.12,0.13,0.12,0.0,0.14,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.27,0.21,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,52.48
10/14/2021,1.91,1.31,1.08,1.32,1.08,1.19,1.01,0.77,0.69,0.67,0.59,0.7,0.53,0.54,0.54,0.63,0.54,0.49,0.5,0.5,0.47,0.46,0.42,0.43,0.43,0.46,0.4,0.3,0.35,0.36,0.41,0.36,0.29,0.36,0.34,0.28,0.15,0.25,0.21,0.35,0.29,0.37,0.31,0.29,0.26,0.25,0.28,0.24,0.3,0.29,0.26,0.31,0.31,0.22,0.25,0.31,0.28,0.25,0.26,0.28,0.19,0.23,0.0,0.18,0.25,0.21,0.25,0.0,0.21,0.23,0.25,0.26,0.2,0.22,0.17,0.22,0.21,0.18,0.24,0.23,0.21,0.17,0.21,0.22,0.16,0.2,0.21,0.23,0.17,0.21,0.17,0.18,0.17,0.18,0.21,0.21,0.18,0.15,0.17,0.17,0.16,0.2,0.2,0.19,0.22,0.17,0.16,0.2,0.2,0.17,0.29,0.17,0.15,0.17,0.18,0.16,0.18,0.21,0.23,0.18,0.14,0.2,0.2,0.14,0.15,0.15,0.19,0.18,0.17,0.19,0.15,0.16,0.18,0.18,0.16,0.16,0.17,0.15,0.14,0.15,0.18,0.15,0.17,0.18,0.17,0.12,0.15,0.12,0.13,0.14,0.17,0.15,0.13,0.13,0.15,0.15,0.13,0.15,0.14,0.12,0.12,0.15,0.13,0.15,0.13,0.15,0.13,0.15,0.12,0.17,0.14,0.15,0.13,0.0,0.14,0.12,0.13,0.12,0.12,0.14,0.0,0.11,0.12,0.0,0.12,0.13,0.12,0.0,0.14,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,52.71
10/15/2021,1.89,1.33,1.14,1.31,1.08,1.16,1.02,0.76,0.69,0.68,0.58,0.7,0.52,0.53,0.53,0.62,0.55,0.5,0.51,0.51,0.47,0.46,0.42,0.43,0.43,0.47,0.39,0.3,0.35,0.36,0.42,0.36,0.29,0.37,0.33,0.28,0.15,0.26,0.21,0.36,0.29,0.39,0.31,0.29,0.26,0.25,0.29,0.24,0.3,0.3,0.26,0.32,0.31,0.22,0.24,0.31,0.28,0.24,0.26,0.27,0.19,0.23,0.0,0.18,0.26,0.21,0.26,0.0,0.21,0.24,0.25,0.26,0.2,0.22,0.16,0.22,0.21,0.18,0.24,0.23,0.21,0.18,0.21,0.22,0.16,0.19,0.2,0.24,0.17,0.21,0.17,0.18,0.17,0.18,0.21,0.21,0.18,0.15,0.17,0.17,0.16,0.2,0.2,0.18,0.22,0.18,0.17,0.2,0.2,0.17,0.29,0.17,0.15,0.18,0.18,0.16,0.17,0.2,0.23,0.18,0.14,0.2,0.2,0.14,0.15,0.15,0.19,0.18,0.17,0.18,0.15,0.15,0.18,0.18,0.15,0.16,0.17,0.15,0.13,0.15,0.18,0.15,0.17,0.17,0.17,0.12,0.15,0.13,0.12,0.14,0.17,0.15,0.13,0.13,0.15,0.15,0.13,0.15,0.14,0.12,0.13,0.15,0.13,0.15,0.13,0.15,0.13,0.15,0.12,0.17,0.14,0.15,0.14,0.0,0.14,0.12,0.13,0.12,0.12,0.13,0.0,0.12,0.12,0.0,0.12,0.13,0.12,0.0,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,52.75000000000001
10/18/2021,1.89,1.33,1.14,1.31,1.08,1.16,1.02,0.76,0.69,0.68,0.58,0.7,0.52,0.53,0.53,0.62,0.55,0.5,0.51,0.51,0.47,0.46,0.42,0.43,0.43,0.47,0.39,0.3,0.35,0.36,0.42,0.36,0.29,0.37,0.33,0.28,0.15,0.26,0.21,0.36,0.29,0.39,0.31,0.29,0.26,0.25,0.29,0.24,0.3,0.3,0.26,0.32,0.31,0.22,0.24,0.31,0.28,0.24,0.26,0.27,0.19,0.23,0.0,0.18,0.26,0.21,0.26,0.0,0.21,0.24,0.25,0.26,0.2,0.22,0.16,0.22,0.21,0.18,0.24,0.23,0.21,0.18,0.21,0.22,0.16,0.19,0.2,0.24,0.17,0.21,0.17,0.18,0.17,0.18,0.21,0.21,0.18,0.15,0.17,0.17,0.16,0.2,0.2,0.18,0.22,0.18,0.17,0.2,0.2,0.17,0.29,0.17,0.15,0.18,0.18,0.16,0.17,0.2,0.23,0.18,0.14,0.2,0.2,0.14,0.15,0.15,0.19,0.18,0.17,0.18,0.15,0.15,0.18,0.18,0.15,0.16,0.17,0.15,0.13,0.15,0.18,0.15,0.17,0.17,0.17,0.12,0.15,0.13,0.12,0.14,0.17,0.15,0.13,0.13,0.15,0.15,0.13,0.15,0.14,0.12,0.13,0.15,0.13,0.15,0.13,0.15,0.13,0.15,0.12,0.17,0.14,0.15,0.14,0.0,0.14,0.12,0.13,0.12,0.12,0.13,0.0,0.12,0.12,0.0,0.12,0.13,0.12,0.0,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,52.75000000000001
