,2330.TW,700.HK,9988.HK,005930.KS,Cash & Cash Equivalents,3690.HK,VALE3.SA,NPN.JO,RIGDS.,939.HK,NIO,JD,000660.KS,2318.HK,HDFC.NS,2269.HK,005935.KQ,2317.TW,BIDU,2454.TW,PDD,1810.HK,GAZP.ME,035420.KS,NTES,SBER.ME,035720.KS,TCS.NS,INFY.NS,1120.SR,006400.KS,051910.KS,INFY,1398.HK,1180.SR,M4B.,ICICIBANK.NS,005380.KS,2010.SR,3988.HK,YUMC,ITUB4.SA,HINDUNILVR.NS,AMXL.MX,2331.HK,PETR4.SA,2020.HK,BY6.,600519.SS,BBCA.JK,BAJFINANCE.NS,LKOH.ME,068270.KS,BBDC4.SA,2303.TW,005490.KS,QNBK.QA,2382.HK,2308.TW,YNDX,2603.TW,GMKN.ME,PETR3.SA,7010.SR,000270.KS,NVTK.L,2222.SR,2313.HK,NBK.,FAB.,105560.KS,B3SA3.SA,175.HK,FSR.JO,BILI,TCOM,2881.TW,BHARTIARTL.NS,AXB.L,2002.TW,012330.KS,FEMSAUBD.MX,ABEV3.SA,GFNORTEO.MX,WALMEX.MX,2319.HK,LI,2412.TW,066570.KS,1303.TW,2882.TW,055550.KS,ASIANPAINT.NS,BBRI.JK,LUKOY,BGNE,6098.HK,BEKE,PBBANK.KL,2891.TW,CHL.,1301.TW,XPEV,GMEXICOB.MX,2688.HK,LT.NS,HCLTECH.NS,051900.KS,3711.TW,IMP.JO,MARUTI.NS,KOTAKBANK.NS,IBN,ZLAB,1801.HK,207940.KS,2886.TW,ZTO,1109.HK,036570.KS,1216.TW,096770.KS,2609.TW,MTN.JO,CEMEXCPO.MX,291.HK,EDU,OTP.BD,KFH.,WEGE3.SA,MGLU3.SA,SSW.JO,300750.SZ,017670.KS,SBK.JO,086790.KS,3008.TW,SNPMF,1093.HK,PTT-R.BK,2333.HK,011200.KS,CPALL-R.BK,NTCO3.SA,TCS.L,TATN.ME,600036.SS,1326.TW,028260.KS,SBIN.NS,857.HK,3034.TW,2884.TW,6415.TW,960.HK,ETISALAT.,000858.SZ,TATASTEEL.NS,TLKM.JK,968.HK,1010.SR,009150.KS,384.HK,ITSA4.SA,TME,1288.HK,RDY,HTHT,2357.TW,EMIRATESNBD.DB,CPI.JO,1177.HK,ULTRACEMCO.NS,1101.TW,2885.TW,5871.TW,688.HK,TECHM.NS,033780.KS,992.HK,2379.TW,M&M.NS,GNDI3.SA,PKO.WA,VIPS,2007.HK,ANG.JO,TAL,OJS1.,2601.HK,HINDALCO.NS,GFI.JO,GLOB,1918.HK,AOT-R.BK,DIVISLAB.NS,091990.KQ,ITC.NS,SOL.JO,SUZB3.SA,BAP,2382.TW,268.HK,2359.HK,241.HK,JSWSTEEL.NS,RENT3.SA,NESTLEIND.NS,2327.TW,DMART.NS,1211.SR,TITAN.NS,2892.TW,BJFIN.NS,SUNPHARMA.NS,5880.TW,n/a,BMRI.JK,SLM.JO,2899.HK,RLNIY US,AXB LI,LKOD. L,IBN US,OJSCF US,BAJAJFINSV.NS,323410.KS,MAYBANK.KL,CIMB.KL,ABG.JO,6969.HK,6690.HK,1088.HK,ASII.JK,2020.SR,SQM/B.SN,HDFCLIFE.NS,TTM,586.HK,NTPC.NS,916.HK,POWERGRID.NS,CLV.,WIPRO.NS,SUM
07/09/2021,6.07,4.82,4.76,3.98,2.03,1.56,1.01,0.99,0.94,0.88,0.76,0.73,0.7,0.7,0.67,0.64,0.63,0.6,0.59,0.58,0.58,0.56,0.54,0.52,0.51,0.51,0.5,0.47,0.43,0.43,0.42,0.41,0.4,0.39,0.39,0.37,0.37,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4
07/12/2021,6.05,4.72,4.52,3.89,2.4,1.53,1.01,0.99,0.95,0.81,0.7,0.75,0.67,0.68,0.68,0.69,0.61,0.6,0.58,0.59,0.58,0.58,0.55,0.53,0.52,0.52,0.51,0.47,0.44,0.42,0.42,0.39,0.41,0.39,0.39,0.36,0.37,0.32,0.33,0.33,0.32,0.32,0.32,0.3,0.31,0.29,0.31,0.26,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.24,0.25,0.21,0.25,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.2,0.22,0.21,0.22,0.21,0.19,0.2,0.21,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.17,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.13,0.15,0.15,0.14,0.12,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.13,0.13,0.13,0.14,0.12,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.26
07/13/2021,6.05,4.72,4.52,3.89,2.4,1.53,1.01,0.99,0.95,0.81,0.7,0.75,0.67,0.68,0.68,0.69,0.61,0.6,0.58,0.59,0.58,0.58,0.55,0.53,0.52,0.52,0.51,0.47,0.44,0.42,0.42,0.39,0.41,0.39,0.39,0.36,0.37,0.32,0.33,0.33,0.32,0.32,0.32,0.3,0.31,0.29,0.31,0.26,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.24,0.25,0.21,0.25,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.2,0.22,0.21,0.22,0.21,0.19,0.2,0.21,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.17,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.13,0.15,0.15,0.14,0.12,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.13,0.13,0.13,0.14,0.12,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.26
07/15/2021,6.12,4.66,4.54,3.89,2.29,1.56,1.04,0.99,0.95,0.8,0.71,0.75,0.67,0.68,0.67,0.69,0.61,0.6,0.57,0.6,0.57,0.58,0.55,0.53,0.52,0.52,0.51,0.47,0.43,0.41,0.41,0.4,0.4,0.38,0.37,0.37,0.37,0.32,0.33,0.32,0.32,0.33,0.31,0.3,0.29,0.3,0.3,0.28,0.26,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.25,0.24,0.25,0.2,0.25,0.24,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.21,0.23,0.21,0.22,0.21,0.19,0.21,0.2,0.2,0.19,0.19,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.19,0.18,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.15,0.16,0.18,0.16,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.13,0.15,0.14,0.13,0.15,0.15,0.14,0.12,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.12,0.14,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.0,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.15
07/16/2021,6.22,4.8,4.68,3.87,2.32,1.59,1.03,0.97,0.95,0.8,0.68,0.77,0.68,0.68,0.68,0.67,0.61,0.6,0.58,0.58,0.57,0.58,0.54,0.55,0.53,0.51,0.51,0.46,0.43,0.41,0.42,0.39,0.4,0.38,0.37,0.36,0.38,0.32,0.32,0.33,0.32,0.33,0.31,0.3,0.3,0.3,0.3,0.28,0.26,0.27,0.26,0.25,0.26,0.27,0.26,0.26,0.26,0.24,0.25,0.25,0.18,0.25,0.24,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.21,0.23,0.22,0.2,0.21,0.19,0.21,0.2,0.2,0.18,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.19,0.17,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.15,0.16,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.13,0.15,0.14,0.12,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.15,0.13,0.15,0.14,0.13,0.13,0.13,0.13,0.14,0.12,0.14,0.11,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.36000000000001
07/19/2021,6.28,4.85,4.78,3.9,2.06,1.56,1.04,1.02,0.95,0.8,0.66,0.77,0.68,0.68,0.68,0.69,0.61,0.62,0.58,0.6,0.57,0.58,0.51,0.56,0.54,0.51,0.5,0.46,0.43,0.41,0.42,0.38,0.4,0.38,0.37,0.38,0.38,0.32,0.33,0.32,0.32,0.33,0.31,0.32,0.31,0.29,0.31,0.26,0.27,0.27,0.26,0.25,0.26,0.27,0.27,0.26,0.25,0.25,0.26,0.24,0.18,0.25,0.24,0.24,0.23,0.22,0.24,0.22,0.23,0.22,0.21,0.23,0.21,0.2,0.21,0.19,0.22,0.2,0.2,0.18,0.2,0.2,0.2,0.19,0.2,0.18,0.17,0.18,0.17,0.18,0.19,0.17,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.15,0.16,0.17,0.17,0.18,0.18,0.17,0.16,0.17,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.12,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.16,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.15,0.12,0.13,0.11,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5
07/22/2021,6.03,4.81,4.69,3.88,2.5,1.51,1.0,1.03,0.95,0.81,0.66,0.76,0.67,0.69,0.67,0.72,0.62,0.61,0.56,0.59,0.54,0.62,0.51,0.56,0.54,0.5,0.49,0.46,0.43,0.42,0.42,0.39,0.4,0.38,0.38,0.38,0.38,0.32,0.33,0.33,0.32,0.32,0.31,0.32,0.31,0.28,0.31,0.25,0.27,0.27,0.26,0.24,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.21,0.25,0.23,0.24,0.23,0.22,0.24,0.21,0.23,0.23,0.21,0.22,0.21,0.2,0.21,0.17,0.23,0.21,0.2,0.18,0.19,0.2,0.19,0.19,0.2,0.18,0.17,0.19,0.17,0.19,0.2,0.17,0.18,0.17,0.16,0.18,0.17,0.16,0.17,0.18,0.15,0.16,0.18,0.16,0.18,0.18,0.17,0.16,0.17,0.14,0.15,0.15,0.15,0.14,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.15,0.11,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.15,0.12,0.14,0.12,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.0,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.11,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.47
07/23/2021,6.04,4.77,4.71,3.88,2.51,1.51,1.02,1.02,0.96,0.8,0.68,0.76,0.67,0.68,0.67,0.71,0.61,0.6,0.57,0.59,0.53,0.61,0.52,0.56,0.54,0.51,0.49,0.47,0.44,0.42,0.41,0.38,0.41,0.38,0.38,0.37,0.37,0.32,0.33,0.32,0.32,0.33,0.32,0.32,0.32,0.28,0.3,0.25,0.27,0.27,0.26,0.25,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.25,0.19,0.25,0.23,0.24,0.23,0.22,0.24,0.21,0.23,0.23,0.2,0.22,0.2,0.2,0.22,0.17,0.23,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.19,0.18,0.18,0.2,0.17,0.19,0.18,0.17,0.18,0.17,0.16,0.17,0.17,0.15,0.16,0.19,0.16,0.18,0.18,0.17,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.12,0.14,0.14,0.15,0.12,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.15,0.12,0.14,0.11,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.0,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.11,0.0,0.0,0.11,0.1,0.1,0.09,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.45
07/26/2021,6.1,4.73,4.77,3.88,2.4,1.52,1.02,1.05,0.97,0.79,0.7,0.77,0.67,0.69,0.67,0.68,0.62,0.58,0.57,0.59,0.54,0.59,0.53,0.55,0.53,0.51,0.47,0.47,0.44,0.42,0.41,0.39,0.41,0.38,0.38,0.37,0.38,0.32,0.33,0.32,0.32,0.32,0.31,0.32,0.31,0.29,0.29,0.27,0.26,0.27,0.27,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.16,0.25,0.24,0.24,0.23,0.23,0.24,0.21,0.23,0.23,0.21,0.22,0.21,0.2,0.21,0.17,0.23,0.21,0.2,0.18,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.19,0.18,0.19,0.2,0.17,0.19,0.18,0.17,0.18,0.16,0.16,0.17,0.17,0.15,0.16,0.2,0.17,0.19,0.18,0.17,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.0,0.14,0.14,0.14,0.12,0.14,0.14,0.14,0.15,0.13,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.16,0.11,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.0,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.11,0.1,0.0,0.11,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.47
07/29/2021,6.18,4.41,4.56,3.95,2.62,1.33,1.08,0.98,0.98,0.81,0.68,0.7,0.67,0.66,0.69,0.62,0.63,0.59,0.53,0.61,0.47,0.58,0.54,0.59,0.44,0.54,0.48,0.48,0.46,0.44,0.43,0.39,0.43,0.39,0.38,0.37,0.4,0.32,0.34,0.33,0.33,0.34,0.31,0.33,0.29,0.3,0.28,0.27,0.25,0.28,0.28,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.26,0.16,0.26,0.25,0.25,0.24,0.23,0.25,0.21,0.25,0.23,0.21,0.23,0.21,0.21,0.17,0.16,0.22,0.22,0.21,0.18,0.19,0.2,0.2,0.2,0.21,0.18,0.18,0.19,0.18,0.19,0.19,0.17,0.19,0.18,0.17,0.16,0.14,0.11,0.17,0.18,0.15,0.16,0.19,0.18,0.19,0.18,0.18,0.14,0.17,0.16,0.15,0.16,0.17,0.12,0.14,0.16,0.16,0.14,0.15,0.15,0.15,0.14,0.0,0.15,0.15,0.14,0.0,0.14,0.15,0.14,0.15,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.15,0.12,0.17,0.11,0.13,0.13,0.13,0.12,0.11,0.12,0.13,0.13,0.11,0.12,0.13,0.13,0.12,0.13,0.11,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.0,0.11,0.11,0.0,0.11,0.12,0.11,0.11,0.12,0.11,0.1,0.12,0.11,0.11,0.1,0.0,0.11,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.09,0.11,0.1,0.11,0.0,0.0,0.11,0.1,0.11,0.1,0.1,0.1,0.0,0.09,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.31
07/30/2021,6.32,4.1,4.36,4.04,2.63,1.12,1.09,0.93,0.99,0.84,0.63,0.7,0.68,0.65,0.7,0.58,0.65,0.61,0.53,0.63,0.43,0.56,0.55,0.6,0.44,0.54,0.49,0.49,0.47,0.45,0.45,0.41,0.44,0.4,0.39,0.36,0.41,0.33,0.35,0.34,0.32,0.35,0.32,0.35,0.26,0.31,0.27,0.26,0.24,0.28,0.28,0.26,0.27,0.28,0.28,0.29,0.28,0.26,0.25,0.25,0.15,0.27,0.25,0.26,0.24,0.24,0.25,0.21,0.26,0.24,0.22,0.23,0.21,0.22,0.17,0.16,0.22,0.22,0.21,0.19,0.2,0.21,0.2,0.21,0.21,0.18,0.16,0.2,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.16,0.12,0.11,0.18,0.18,0.15,0.17,0.17,0.19,0.19,0.19,0.18,0.14,0.17,0.16,0.16,0.16,0.17,0.11,0.13,0.17,0.16,0.14,0.14,0.15,0.15,0.14,0.0,0.15,0.15,0.14,0.0,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.12,0.16,0.12,0.13,0.13,0.13,0.12,0.11,0.12,0.13,0.13,0.11,0.13,0.13,0.12,0.12,0.13,0.1,0.14,0.13,0.11,0.12,0.12,0.12,0.12,0.0,0.11,0.1,0.0,0.11,0.12,0.11,0.1,0.12,0.12,0.1,0.12,0.11,0.12,0.1,0.0,0.13,0.1,0.1,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.11,0.11,0.11,0.0,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.13000000000001
08/02/2021,6.19,4.4,4.66,3.96,2.16,1.28,1.09,1.03,0.97,0.8,0.67,0.75,0.66,0.66,0.67,0.65,0.63,0.6,0.54,0.61,0.49,0.58,0.56,0.57,0.49,0.54,0.48,0.48,0.46,0.44,0.44,0.4,0.43,0.38,0.38,0.37,0.4,0.32,0.34,0.33,0.32,0.36,0.31,0.35,0.3,0.31,0.29,0.29,0.24,0.27,0.28,0.26,0.26,0.28,0.28,0.28,0.27,0.27,0.24,0.25,0.16,0.26,0.25,0.26,0.24,0.25,0.24,0.22,0.25,0.24,0.22,0.22,0.23,0.21,0.18,0.17,0.21,0.23,0.2,0.19,0.19,0.21,0.2,0.2,0.21,0.18,0.17,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.15,0.1,0.17,0.18,0.15,0.17,0.18,0.18,0.19,0.18,0.18,0.14,0.17,0.17,0.15,0.15,0.17,0.13,0.15,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.0,0.15,0.15,0.14,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.13,0.15,0.12,0.18,0.11,0.13,0.12,0.12,0.12,0.11,0.12,0.13,0.13,0.11,0.13,0.13,0.12,0.11,0.13,0.1,0.15,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.1,0.1,0.11,0.12,0.11,0.1,0.12,0.11,0.1,0.12,0.1,0.11,0.1,0.0,0.12,0.1,0.1,0.1,0.0,0.1,0.11,0.0,0.1,0.0,0.12,0.11,0.11,0.0,0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.11,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.38000000000001
